Article title	Section header	Previous context	Sentence	Follow-up context	Filler1	Rating1	Filler2	Rating2	Filler3	Rating3	Filler4	Rating4	Filler5	Rating5
How to Add a Contact in Microsoft Office	Related wikiHows	 * How to Add Addresses to Outlook Express Address Book * How to Configure Outlook Express *	How to Add an Email Account to Older ______ of Microsoft Outlook	* How to Get Thunderbird Email Messages Into Outlook	configurations	3	sections	3	Versions	5	edition	3.5	properties	1.5
How to Care for a Soft Shelled Turtle	Steps	 1.	Do your research on what ______ of soft shelled turtle would most fit you.	Smooth or Spiny Soft Shell turtles are much more docile than other soft shells like a Florida Sofhell.	varieties	4.5	size	4	category	2.5	volume	1	kind	2.5
How to Love Your Partner	Steps	 (...) 4. D: Have fun. (...) You can do something different and fun, think about the dates that you had when you just started dating. 	Make each other laugh, play and be ______ of silly! It's releasing, calming and strengthens your relationship.	5. E: Do something nice for one another.	thousands	1	sort	3.5	friends	1.5	part	3	shades	1.5
How to Be a World Citizen	Getting Involved in Your Community	 (...) * Post and respond to the updates of others on social media. You can reach out to people in your community, or people from all over the world. 	Do not, however, share any personal ______ with strangers.	* Join a pen pal program.	information	4.5	messaging	2.5	connection	1.5	projects	3.5	interests	4
How to Treat Headaches at the Base of the Skull (Cervicogenic Headaches)	Using Home Management	 (...) 3. Do leg stances. (...) Proper alignment is necessary for fewer (and less intense) headaches, reducing stress on the area. 	Here's how to do this ______ of exercise:	* Start by standing behind the chair while holding onto it using both hands.	type	5	pattern	3.5	point	1.5	category	2.5	division	2
How to Solve Your Dog's Skin and Scratching Problems	Steps	 (...) 3. Allergy Injectible Regimen. I had my dog tested for what he might be allergic to. 	This ______ includes drawing blood and sending the sample to a lab, similar to what a person goes through when they are having allergic reactions.	I was prescribed a series of shots I administered once every three days, starting with low doses and moving to higher doses.	activity	5	treatments	1.5	application	3	testing	4	process	5
How to Clean Tungsten Carbide Jewelry	Caring for and Protecting Your Tungsten Carbide Jewelry	 (...) 2. Limit your jewelry’s contact with chemicals. (...) When tungsten comes into contact with one of these products, the chemicals may spot the surface of the jewelry. *	If your tungsten jewelry comes into contact with one of these products, rinse it in a ______ of warm soapy water immediately.	3. Limit your use of ultrasonic jewelry cleaners.	source	2	solution	5	film	4	vapor	2.5	container	5
How to Play the Drinking Game King's Cup	Playing Classic King's Cup	 (...) * Queen is for Question Master. If a player draws a Queen, they become the Question Master. 	Until another player draws a Queen, everyone can only respond to the Question Master's ______ with another question.	For example, if Terry is Question Master, and asks Steve ""what time is it?""	questions	5	point	2.5	description	3	remarks	3.5	suggestion	2.5
How to Acquire Property Through Adverse Possession	Filing a Lawsuit in Court	 (...) 4. Create a caption. (...) It contains standard information and will not change throughout the lawsuit. 	The caption should contain the following ______:	* The name of the court.	sections	4.5	results	3	information	4	references	3	explanation	4.5
How to Make Play Dough	Ingredients	 * 2 cups of plain flour (...) * 2 tbsp of cooking oil 	cups sugar or ______ of tarter	* Food coloring - optional but colors are fun	cream	4	layers	3	herbs	2	grains	3	oil	3
How to Make a Pincushion	Making a Mason Jar Pin Cushion and Sewing Kit	 (...) 3. Make a sandwich of stuffing, 1 felt circle, and the jar lid. (...) 4. Add hot glue around the outer edges of the lid to secure the fabric. 	Wait until your hot glue gun is hot (about 10 minutes), and then use it to place a few drops of hot glue around the edges of the bottom ______ of mason jar lid.	After adding each drop of glue, fold the fabric on that side of the lid over and press it into the hot glue.	region	3	circle	3	corners	1	triangles	3	side	4
How to Live in the Present (Spiritual Way)	Practice Dis-identification	 (...) 3. Don't limit yourself with words. (...) In the same way we conceptualize or label ourselves as a finite body. (...) *	So despite knowing this truth, you can continue to use the ______ of language or labels to communicate, at the same time realizing that words can utmost be pointers.		source	2.5	gift	5	beauty	3	importance	4	substance	2.5
How to Stop Purging After Meals	Practicing Self-Help	 (...) 3. Keep a journal. (...) Along with these things you should write down: *	Your thoughts about the anxieties or ______ of guilt that make you want to purge.	* Moments of strength when you overcame the desire to purge.	areas	1.5	feelings	3	stages	4	stories	3.5	perceptions	5
How to Clean a House	Steps	 (...) 2. FURNITURE POLISH: Like glass cleaner, furniture polish isn't meant to be a cleaner. (...) Otherwise, it will be necessary to find a cleaner suitable and safe for your furniture. 	Some ______ can handle water, and those that can should be used with the soapy solution from step one.	Be sure to quickly dry off these surfaces.	furniture	4.5	rooms	1.5	regions	2.5	homes	2.5	structures	4
How to Download Songs from SoundCloud	Using the SC Downloader Website	 (...) 3. Search for a song. (...) 4. Select a song. 	Click the ______ of the song you want to download.	The song's page will open.	video	4	name	5	date	1.5	word	2	section	2
How to Make Your Child More Responsible	Leading by Example	 (...) 5. Make sure that your child's needs are being met. Children will behave better if they are well-fed and well-rested. 	Provide a balanced diet, give them ______ of downtime away from screens, promote exercise, and give them a healthy bedtime.	* For downtime, children can play with toys, read, do arts and crafts, talk with family members, or snuggle.	plenty	5	doses	3	patches	3	months	1.5	bouts	5
How to Clean Old Cast Iron	Removing Rust from Old Cast Iron with Vinegar	 1.	Mix equal ______ of white vinegar and water together.	Vinegar is acidic and will destroy your cast iron if it's exposed to it for too long.	parts	5	volumes	5	sizes	4	areas	2.5	amount	5
How to Be Like Tootie from a Fairly Odd Movie	Steps	 (...) 6. Treat someone when its meal time! In the movie Tootie brings Timmy to a fancy restaurant. 	Make sure to eat some exotic or healthy ______.		food	3.5	spaghetti	2	rice	3	pizza	1.5	people	1.5
How to Scrunch Hair	Warnings	 * If you have short hair,(shoulder length), this may not be the hair style for you. (...) * Gel isn't usually the best thing to use in your hair. 	If you put in too much ______, it makes your hair look crunchy and wet.	Try applying mousse then spraying your hair with a curl defining spray.	water	3	oil	2.5	juice	1	gel	4.5	makeup	3
How to Manage a Warehouse	Tips	 (...) * A warehouse manager must have exceptional interpersonal skills. He must not only work with his employees but with the customers. *	Minimize the ______ of unauthorized personnel by requiring all employees to wear a uniform.	This can simply be a certain hat or t shirt.	risks	5	proliferation	4	incident	3.5	dangers	5	presence	4.5
How to Get Sober Through Christ	Steps	 (...) 2. Receive God's provision and power over sin! (...) 3. Put on the whole armor of God (salvation, righteousness, the sword of the Word, faith, preparation). 	This ______ would include fellowship with believers.	Choose to associate with people who will support, and not hinder your walk.	preparation	4	endorsement	2.5	process	3	consecration	3	celebration	4
How to Gain Weight in Two Months	Warnings.	 	Gaining weight can be harder than losing weight for some ______.	It can be especially difficult if you are surrounded by people trying to lose weight.	women	5	people	5	circumstances	2.5	members	2	months	3
How to Dirty Dance	Steps	 (...) 5. Try it for your partner. (...) * Your partner might turn you around so you are facing the same direction, and hold your hips. 	Some ______ even take your hands.	* While holding you close, your partner might have your leg in between theirs; it makes you dance closer.	clients	3	partners	5	men	3	actors	2	dancers	4
How to Save Money on Meals Out	Saving Money While at Restaurants	 1. Order from the lunch menu. (...) Lunch can often be a slower time for restaurants so they’re happy to drop their prices to fill the tables. (...) 	Bring your own ______.	When you eat out, you often end up spending more on wine than you do on the food so why not slash your bill by bringing your own booze?	restaurants	1	alcohol	4	bowl	1	groceries	1.5	breakfast	2.5
How to Act Like Sherlock Holmes	Dressing Like Dr. Holmes	 (...) 4. Add a scarf. Holmes is frequently seen wearing a gray scarf, especially in modern portrayals. 	Opt for a bigger, somewhat chunkier ______.	Fringes on the edges also help give the scarf a Holmes vibe.	scarf	5	style	4.5	helmet	2	version	3.5	jacket	3
How to Decorate an Oddly Shaped Living Room	Accommodating the L-Shape	 (...) 2. Group your furniture to create focal points. (...) Minimize spaces between the walls and your furniture to tighten up the layout. *	If you need to increase the space between the wall and ______ of the sofa, use a sofa table to separate them.	This is especially useful for tightening up conversation areas.	cushions	5	rest	3	sofa	1.5	arms	4	back	4
How to Set Your Fees	Sources and Citations.	 Setting Fees for Services is a difficult thing for most people in the health care professions or other service professions. (...) Women also usually don't think about charging the same as men do and will often end up being an under-earner. 	This is a good tutorial for women, massage therapists, web designers and other ______ who want to know how to earn what you are worth.		practitioners	3	experts	4	scientists	2.5	professionals	4	personnel	5
How to Play Your Best Soccer Game	Warnings.	 	This ______ may help you get better at soccer.		school	5	guide	5	reading	3.5	match	4.5	recipe	1
How to Be a Good Airsoft Unit	Related wikiHows.	 	This ______ will teach you the basics of any team based Airsoft game imaginable.	This team-based strategy will blast any opposing teams away with ease.	project	4	book	4.5	dvd	2	ebook	5	article	4.5
How to Upgrade a Processor	Part 5: Replacing the Motherboard	 1. Label each cable that is connected to the old motherboard and take note of the place where the cable comes from. (...) 5. Unscrew and remove the old motherboard. 	Replace the motherboard's ______.	7. Replace the motherboard screws.	keyboard	2.5	driver	3.5	screws	5	cables	4.5	controllers	3.5
How to Make Cupcakes from Scratch	Preparing Chocolate Frosting	 1. Melt the butter in a saucepan and add the cocoa powder. (...) 2. Add half of the milk and vanilla and beat them for 10 seconds. 	In the bowl with the cocoa, add in approximately half of the of milk and ______ of the of vanilla.	Use an electric mixer to stir them together before adding in half of the 2 c (320 grams) of powdered sugar.	halves	3	half	4	majority	4.5	proportion	3.5	portions	3.5
How to Cuddle	Steps	 1.	Put your arm around someone's ______.	This makes most people feel comforted or protected.	backside	4	hands	2.5	grandfather	1.5	shoulders	4	thigh	3.5
How to Deal With Impossible People	Tips	 * If you think that you are impossible, good job for realizing it! Learn to look at other people's opinions with an open mind. 	You are allowed to have your own ______, but recognize that just because an opinion is yours does not make it automatically right.	* Note that the most healthy way to deal with an impossible person is to remove that person from your environment.	opinions	4.5	doubts	3	policy	2.5	suggestions	5	interests	2
How to Treat Dehydration	Adequate Hydration Has Many Benefits:	 * There are many aspects of your life that improve by drinking optimal amounts of water: * Lowers hunger, for easier weight loss, improves food digestion and nutrient absorption, *	Helps normalize blood pressure and correct ______ of cholesterol, increases libido,	* Relieves heartburn, blotting and constipation,	use	3.5	deficiency	4.5	rates	3.5	consumption	3.5	sources	2.5
How to Exercise Your Eyes	Steps	 (...) 4. Sit and relax. Roll your eyes clockwise, then anticlockwise. 	Repeat 5 times, and blink in between each ______.	5. Sit about 50 cm from the window.	position	1.5	contraction	2	push	2	time	4	rhythm	2
How to Knit Entrelac	Creating Base Triangles	 1. Cast on a multiple of 8. (...) Then, loop the yarn over the left-hand needle, insert the right-hand needle through the loop, yarn over the tip of the left-hand needle, and pull through to create the next cast on stitch. 	Repeat this ______ to create more cast on stitches.	* If you just want to practice entrelac knitting, you might cast on 16 stitches.	route	2.5	routine	4	rhythm	2	sequence	4.5	rotation	2
How to Buy Adult Diapers and Briefs	Steps	 (...) 3. Find out what the absorption level is. (...) No diaper is made the same. 	Some ______ suffer from light, moderate or even severe incontinence.	Purchasing diapers with the right protection level is important since wearing diapers with a lower protection level than what you need may result in an embarrassing situation.	people	5	teenagers	2.5	families	1.5	males	4.5	men	4
How to Make an Infinity Cube Out of Paper	Making the Small Cubes	 (...) 3. Fold the paper so that the ends touch the line. 4. Repeat this process five more times. 	Use a different color of construction paper for each ______.	5. Apply glue to the outside flaps of each rectangle.	panel	3	puzzle	2	repetition	4.5	process	4.5	addition	3.5
How to Recognize Molluscum (Molluscum Contagiosum)	Preventing Molluscum Contagiosum	 1. Practice good hygiene. (...) Hand washing also removes viruses that you pick up from contaminated surfaces, toys, clothing or towels. (...) *	In addition to washing your hands, try to stop the ______ of putting your hands into your mouth or rubbing your eyes — it'll help prevent infection also.	* Using an alcohol-based hand sanitizer is also effective against molluscum contagiosum and can be used as an alternative to soap and water.	habit	5	discomfort	4.5	point	2	application	3.5	motions	3.5
How to Star a Message in WhatsApp	Related wikiHows.	 In Whats App's new 2017 update, a new feature has been added- the ability to star a message to save it. 	The following ______ will help you to star a message on Whats App.		pictures	4	video	3	wikiHow	4.5	interface	2.5	details	5
How to Get Your Child out of Bed in the Morning	Ensuring a Good Night’s Sleep	 (...) 2. Explain why sleep is good. Kids who are simply told to do something because you (the parent) says they should do it, are more likely to fight back. 	Instead of just implementing a routine or ______ of bedtime rules, explain to your kids why it’s important that they go to bed at a certain time and why it’s important they get a certain amount of sleep every night.	* Lack of sleep can cause both physical and mental problems.	explanation	2.5	framework	2.5	variation	2.5	set	3	schedule	5
How to Choose the Right Stuffed Animal	Related wikiHows.	 Have you ever wanted a stuffed animal to be your companion but didn't know what to look for? 	Then this ______ is for you.		present	3.5	doll	4	article	4.5	gift	3	rabbit	2.5
How to Organize an Effective Communication Plan to Create and Share Meaningful Information	Steps	 (...) 2. Gather essential material to analyze the subject. (...) 1. Undertake a strategy to ensure an optimal decision. 	Adapt supporting details like ______ of the exact meaning of a word, illustrative descriptions through exemplifications, and comparisons to observe similarities.	This strategic combination must always embrace the general principles and intentions of a valuable speech.	explanation	3.5	demonstrations	3	descriptions	4.5	suggestion	2	representation	3.5
How to Use Bergamot Oranges	Trying Bergamot Orange Recipes	 1. Make an oyster mushroom salad with apple and Bergamot. Soak the apple slices in bergamot juice and set aside. 	Get a skillet hot, coat it with a ______ of olive oil, and cook the mushrooms for about five minutes.	Season them with salt and pepper, then remove them from heat.	tablespoon	4	bowl	1.5	film	4.5	sample	1	tube	2
How to Make a Coin Appear in Someone's Pocket	Steps	 (...) 5. When the time is right tell the person you are going to make a coin disappear. Do not tell them you will make it appear in there pocket. 6.	Do a simple coin-disappearing trick like rubbing your hands together and dropping the coin down your sleeve, or if you know another one use that ______.	7. Wait for the person's reaction.	symbol	0.5	one	4	key	1.5	token	1.5	gesture	2.5
How to Work With a Controlling Person	Handling controlling co-workers	 (...) 2. Learn to stand up to the control freak in an assertive way without being confrontational. (...) 3. Protect yourself from controlling co-workers who might try to steal your ideas and take credit for successes themselves while attempting to push you to the side. 	Be prepared for this ______ of behavior.	* Keep a record of your actions and ideas to show your supervisor.	behavior	1	pattern	5	system	2.5	description	3.5	sort	4
How to Buy a Campsite or Campground Business	Swimming Pools	 (...) 2. A pool may be a must in hot locations but do not underestimate the work or commitment involved in running a clean, legal and safe pool for your clients. (...) 3. Not all campers consider a pool a bonus, those seeking a quiet retreat often view pools as a bonus in terms of an addition facility but as a negative in terms of attracting other campers of a noisier disposition. 	Some ______ on balance actually seek out campsites that lack certain amenities that are judged to be attractions for a different sector of the market.	This brings us to one of the primary considerations for anyone thinking of buying a campsite, hotel or other small tourist business - know your market, know their age range, whether they are families or retired couples and understand their idea of a perfect vacation.	firms	1	clubs	2.5	campers	4	jurisdictions	2	men	4
How to Put On Cufflinks	Attaching Different Styles of Cufflinks	 (...) 8. Attach a set of locking closure cufflinks. (...) Once the back side of the cufflink to completely through the last layer of cuff material, hinge the cufflink back, to close and lock the cufflink into place. *	This style of cufflink is one of the most secure ______, and offers a tighter fit to the cuff.		positions	4	watches	2.5	fabrics	1	patterns	3	varieties	5
How to Clean a Varnish Brush	Drying and Storing Brushes	 1. Dry the bristles with a clean cloth. (...) Wipe in the direction that the bristles run rather than against it to avoid bending them. 	Wrap the bristles with the non-sticky side of a ______ of duct tape.	Cut a piece of duct tape long enough to wrap around the brush.	rack	1.5	seam	3	layers	3	network	2.5	piece	3.5
How to Identify Trees	Applying Your Observations	 (...) 4. Use a tree identification app. There are plenty of apps for your smartphone that can help you identify trees. 	Some ______ will be able to use pictures of trees or leaves to identify them, where others might ask you a series of questions to help narrow it down.	Search for “tree identifier” apps in your smartphone app store and see which one you like best.	campuses	1	organizations	2.5	researchers	4.5	apps	4.5	colleges	1
How to Make an Origami Lamp	Part 1: Making the Origami Lamps	 1. Make sure the piece of paper you're working with is perfectly square. (...) The square sheet of paper now has one diagonal fold. 	Fold the paper so that the other ______ of opposite corners match.	You will now have two crossing diagonal folds.	teams	2	set	2.5	portions	2.5	layers	4.5	triangles	2
How to Write a Cover Letter	Formatting Your Letter	 	Format the ______ of the letter.	Use Arial or Times New Roman, 12-point, font throughout the entire letter, set your margins to one inch, and use single spacing.	type	2.5	part	2.5	body	5	letters	1	pronunciation	2.5
How to Afford Culinary School	Planning for Culinary School	 1. Start a savings account. (...) * 529 college savings plans are particularly popular because they defer taxes on savings if the student attends an eligible institution. 	Although some institutions may not be eligible, you can use your 529 plan to attend certain culinary ______.	2. Earn money in high school.	academies	4	competitions	2.5	programs	5	schools	5	universities	5
How to Pierce Your Ear	Tips	 * Make sure that you use a pillow that does not have loose fabric when you go to bed. (...) * Take Advil or some other pain reliever roughly half an hour before piercing your ear(s) so as to reduce the pain you will feel after. 	Some ______ believe that taking such painkillers before getting a piercing will hinder your body's ability to clot the piercing area.	Take at your own risk.	scientists	4.5	men	3	families	2	people	3.5	christians	1
How to Make Vegan Brownies	Steps	 1. Preheat your oven to 350°C (180°C). 	Before you bake these ______, the oven needs to be the correct temperature.	2. Line and grease the baking tray.	layers	4.5	dough	2.5	brownies	5	changes	1	ingredients	4
How to Get the Light Ball in Pokémon Emerald	Steps	 1. Go to the safari zone. 	Find Pikachu in the ______ of tall grass that is just past the first area of grass, with a Pokeblock thing in the middle.	3. Keep catching Pikachus until you find one that has a light ball.	circle	3	section	4.5	patch	5	ground	2	meadow	4
How to Create Your Own Fire Extinguisher With Household Items	Steps	 1. Fill the plastic bottle with 1/3 vinegar(the one that is used in chinese foods). 2. Fill the bottle with water but leave 1.5 inches(6 cm)empty space left. 	Get 2 ______ of toilet paper and place 2 table spoons of baking soda on it fold it .	4. Drill a small hole (carefully) on the cap and put the bag through the cap.	volumes	2	bags	2.5	inches	3.5	peices	5	jars	1
How to Play the Hunger Games Outdoor Game	Setting Up the Game	 1. Gather a group of friends. (...) Asign each tribute a district. 	Districts 1, 2, and 4 are career districts, so make sure your strongest players are from those ______.	Distribute walkie-talkies so you can alert people if you're ""killed"".	towns	3.5	families	2.5	districts	4	teams	3.5	organizations	3
How to Check for Court Date	Calling the Court	 (...) 3. Call the court. (...) * If you reach an automated system and need to speak to a live person, then wait until all of the options have been listed. 	If you don’t pick any ______, then you should be forwarded to a person to talk to.		votes	1.5	option	3.5	application	1	names	4	address	1.5
How to Incorporate in Pennsylvania	Sources and Citations.	 Incorporating your business in Pennsylvania is easy, and it carries many benefits. 	As the ______ of a corporation, you’ll limit your personal liability, lower your tax rates, and gain access to capital.	To incorporate, choose an appropriate business name and then file your articles of incorporation.	heir	3.5	auditor	1.5	chairman	5	owner	5	advisor	2.5
How to Polish Boots	Applying the Polish	 1. Use a cream or wax based polish. (...) Because of the stronger concentration of wax, this type of polish will help you protect your boots from liquids, scratches, and scuffs. (...) 	Dip one ______ of a clean, lint-free rag into your polish.	Begin by only submerging one corner of the cloth into your polish.	corner	5	section	3.5	component	1	thickness	1.5	inch	4
How to Choose a Tent	Tips	 * Before you take your new tent out for your first trip, set it up in your backyard. (...) * Keep the assembly instructions that came with the tent. 	Insert a ______ of the insrtuctions into a zip-lock bag or have them laminated to keep them dry and extend their life.		part	4.5	branch	1	copy	2.5	majority	3.5	variety	2
How to Play Euchre	The Rules	 (...) 2. Know how to keep score. (...) The first pair to win 10 points is the winner of Euchre. (...) 3.	Think about your partner's ______.	You want to avoid playing good cards when your partner has already laid a good card; your team will probably already get the trick.	cards	4	position	5	result	3	abilities	4	ability	4.5
How to Cancel a Contract for a Deed	If You are a Buyer	 (...) 2. Determine if you have any legal right to terminate the contract. (...) * Breach of contract by the other party. 	If one party knowingly fails to comply with the terms of the contract, the other ______ may terminate the contract.	A breaching party has no right to complain that the other has ended the contract, which he or she breached.	party	5	leader	3	players	3	broker	5	brother	1
How to Find a Square Root Without a Calculator	Warnings.	 	There are a number of ways to calculate square roots without a scientific ______ , ie: one that does not have a roots button.	This is only one method.	explanation	3	calculator	5	interface	4	analysis	2	error	4
How to Travel to Alaska	Thing to do in Fairbanks	 1. Denali National Park, two hours out of Fairbanks. (...) There's tons to do there. 	Go to the Santa Claus House, thirty minutes outside of Fairbanks in the ______ of North Pole.	It's a great place to pick a souvenir, take selfies, and if you have kids and it's around Christmas you can take their photos with Santa and have them ask for what they want.	city	4	territory	4	directions	4.5	hamlet	1.5	valley	4
How to Make a Cucumber and Cress Salad	Sources and Citations.	 A refreshing summer salad that will entice people to have seconds. 	This ______ goes well with pasta dishes and crusty bread.		buffet	2	shit	1.5	food	4	salad	5	spaghetti	3
How to Type Symbols Using the ALT Key	Tips	 * Hold down the key while you type in the entire code, when you release the key the glyph will appear. 2. let go and there you have it a black smiley face on word. *	Some ______ may require a 0 before the 3 digit combination	* To type with special symbols you may also use transliteration tools like Google Transliterate or ok-board.com and then just copy&paste it into your Unicode enabled text.	projects	2	combinations	4.5	names	3	scripts	4	designs	3.5
How to Learn the Books of the Bible	Creating a Study Strategy	 (...) 2. Choose to start with either the Old or New Testament. (...) Once you finish one book, move on to the next. (...) 3.	Set aside time each day to study the ______ of the Bible.	If your schedule permits it, try to read the books of the Bible every day.	source	1.5	story	2.5	doctrines	4	texts	3.5	books	5
How to Make Good Grades in High School and College	Tips	 *	Make sure your binder or expandable ______ is big enough.		pocket	3.5	folder	5	fabric	1	booklet	3	pile	1
How to Make an Art Quilt	Steps	 (...) 5. Apply a fusible backing. (...) The fusible, will adhere to the back of the fabric. 	You can draw shapes on the ______ of white paper, and then it will be stuck to the back of your fabric, You need to peel off the white paper and re-iron the shapes where you want them placed.	Fabric shapes can be laid on the background and later sewn on to secure.	sleeves	4	walls	1.5	seam	3.5	plate	3	side	4
How to Be a Cheerleader	Steps	 1.	Get fit if you aren't already because cheerleading is a very intense work out in its own ______.	* Be flexible.	heading	2	areas	3	right	3.5	state	1	hands	1
How to ""Get Straight ""A""s	Intro	 Being a great student doesn't mean hours and hours of being studious and having no social life at all! (...) If you get good grades, you're that much closer to a good college, which leads you to a good job. 	Keep reading to find out how to be more successful in any ______ of school.	[[Category:	type	4	division	3	subject	5	size	3	neighborhood	3
How to Install, Configure, and Test Certificate Services in a Windows Server 2012 R2 Domain	Install, configure, and verify AD Certificate Services	 (...) 3. Verify Active Directory Certificate Services. (...) * Expand kim-W12R2A10-CA and click Issued Certificates. 	Right click the white ______ and click Refresh, if it is empty.	* Reboot the domain controller, if it is still empty after a few refreshes.	x	5	background	4	diagram	3	circle	2.5	area	4.5
How to Treat Acetaminophen Toxicity in Cats	Recognizing Symptoms	 (...) 4. Recognize any dose of acetaminophen is toxic for cats. Acetaminophen is extremely toxic to cats. 	Even the ______ of a small dose will be toxic and can cause problems.	A dose of only 10 mg per pound of body weight can be toxic, while 50 to 100 mg can be lethal.	rejection	2.5	ingestion	4	receipt	1.5	results	4.5	application	3
How to Make a Glitter Font	Tips	 *	Add if you want some effects to the text, in this ______ there is shade added to the text.	For making it easy go the effect,copy effects and paste each effect in to all the layers.	key	2	style	4	example	5	novel	4	image	4.5
How to Decide What You Want to Be when You Grow Up	Tips	 * Don't ever limit yourself, or let other people tell you what you can and cannot do; if you have a passion for something then GO FOR IT. 	The only ______ that would ever stop you is you.	* Don't get tot obsessed with finding your career now because you and your interests will change and you'll go through at least 20 different stages of what you want to be.	family	1.5	thing	4.5	substance	2.5	individual	5	ground	4
How to Act Like Tris from Divergent	Steps	 (...) 2. Conquer your fear of heights if you have one. In both the book and the movie, you can see that Tris is involved with heights a lot. 	She can jump out of trains and off the ______ of buildings.	She has also climbed to the top of a ferris wheel without falling.	tops	5	roofs	5	base	1.5	walls	3.5	ledge	4
How to Use a Fire Extinguisher	Steps	 1. Do not attempt to extinguish any fire before calling for help. Always leave an exit to escape before using an extinguisher. 	Assess the ______ of fire.	The fire you encounter can be varied in size.	type	4.5	field	2.5	size	4	importance	2.5	source	3.5
How to Prevent Spotting Between Periods	Steps	 1. Take birth control pills at the same time every day. (...) 2. Change the method of birth control if you are using, especially if you use an intrauterine device (IUD). 	IUD users have a higher rate of spotting than ______ of other birth control methods.	3. Avoid taking aspirin or Ibuprofen, if possible.	receivers	1.5	clients	3	people	4	drivers	2.5	users	4.5
How to Naturally Dye Your Hair	Increasing Your Hair's Dark Colors	 (...) 2. Use alder bark. (...) * Obtain bark chips from a health food store or buy them online. 	Simmer an ______ of the chips in a quart of water for about half an hour.	Cool, drain, and use the mixture the same way you would use a sage mix.	ounce	2.5	example	1	episode	2	army	1	aspect	1
How to Manually Build and Install GNU Compiler Collection on Linux Mint	Steps	 1. Install required packages (...) 10. Build and install GNU Compiler Collection (GCC) (...) 11.	Modify your system-wide environment variables to support new ______ of GNU Compiler Collection (GCC)	* Since there is no default .bashrc file for users on Linux Mint you do not need to add the PATH of the newly built GCC to such a file	sizes	2	version	4	stages	4	implementations	5	variant	4.5
How to Create an In Home Library	Steps	 (...) 3. Find the right furniture. (...) Make sure you make the right choice. 	Think twice before buying a suitable ______ of furniture.	4. Find Nice racks.	outfit	2.5	section	1	piece	4.5	kit	3	layout	3.5
How to Dance the Cha Cha Slide	Learning the Cha Cha Slide	 (...) 14. Move back up to a standing position. (...) 15. Hop twice once you’re standing again. 	The ______ instructs that you hop twice when you stand up.	Hop forward once, and then hop forward again.	rhythm	3	band	2.5	music	5	song	5	dancer	2
How to Deal with Fake Friends	Becoming Aware of Troublesome Behavior	 1. Identify what behaviors are unacceptable for you. (...) When coping with fake friends, work on identifying what behaviors you will not tolerate. 	If your fake friends behave in these ______, disengage with them right away.	You can identify unacceptable behaviors by the way they make you feel.	capacities	4	people	3	environments	2	acts	5	ways	4
How to Build a DIY Wood Pallet Seasonal Craft	Steps	 1. Start out by laying the plywood on a sawhorse stand 4. Very carefully use a table saw to cut off the wood (...) 	Take the 32.5x3 board and place it underneath the ______ of the cut boards.	* This will give the correct placement of the board for nailing	centers	4.5	faces	4	middle	5	end	5	bulk	4
How to Become a Dethklok Fan	Tips.	 	Ever watched Metalocalypse or just wanting to hear the most brutal ______ out there?	Then Dethklok is for you!	music	4.5	story	3	murderers	4.5	metal	5	shit	5
How to Save Money Without Shopping at Walmart	Steps	 (...) 6. Get a Costco AMEX: (...) Compared to Sam's Club & Wal-Mart products Costco's prices are the same or better and if it is priced higher it's of much better quality, organic compared to generic. 	The icing on the cake is you'll save on average 20 to 60 minutes of your precious time shopping and checking out, most ______ barely have time to locate and swipe their cards before they're on to the next person.		people	4.5	restaurants	1	employees	3	collectors	4	men	3
How to Prevent a House Fire	Steps	 1. Inspect your home. You may need to recruit, or even hire, someone experienced in home electrical wiring, plumbing (gas), heating, and air conditioning. 	Stay in the kitchen when cooking on the ______ of the stove.	If you are leaving for just a minute, turn off ALL the burners on the range!	safety	2.5	backside	2	end	2	water	1	top	4.5
How to Make Putty	Putty for Spackling	 (...) 3. Pour a small amount of water into the center of the well. (...) Start by adding about of room-temperature water to the center of the well. 	If the mixture seems too dry when you mix it together, you can add more ______.	4. Use a drywall scraper to fold the water into the plaster.	cement	3.5	water	4	wine	1.5	mold	1.5	soil	2
How to Help Children Overcome Test Anxiety	Steps	 (...) 2. Break apart the insecurity and ask questions. (...) Once this has started doors will open up for parents in pinpointing specific anxiety concerns. 	Try asking these ______ of questions: Questions like these will bypass assumptions on why kids feel anxious during test time.	* · When your teacher lays a test on your desk, how does it make you feel?	type	4	teams	1.5	strands	2	sorts	4.5	areas	1.5
How to Increase Urine Flow	Treating an Enlarged Prostate	 (...) 2. Try saw palmetto extract. Purchase saw palmetto extract as a supplement from your drug store or health foods store. 	Some men find this ______ improves their symptoms of BPH, though it’s not scientifically proven to help.	Discuss using any medications or supplements with your doctor beforehand.	preparation	5	herb	3.5	information	1.5	treatments	3.5	supplement	4.5
How to Change Your Subscribed Genres on Goodreads	Steps	 (...) 3. Look at what genres you have selected already. With 40 genres in the list, there's no telling what genres you're subscribed to. *	For people who have no friends on Goodreads yet, the genres of recommended books will be all ______ of books that you are subscribed to see.	If you like several of the genres, select whatever.	compositions	4	genres	5	areas	3.5	sorts	5	thousands	1
